"Aero Boero 180 AG / 180 RVR           ",3, 5.3900, 55.881,0     ,  756.0091, 14.2867,2700,0.9093,-0.7274, 2.7884,1,0     , 0     ,0     ,-0.3048,-0.1524,2
"Aero Boero 260 AG                     ",3, 5.4865, 55.875,0     , 1033.1066, 16.4443,2700,1.0668, 0     , 3.3528,1,0     , 0     ,0.3048,-0.3048,-0.1524,1
"Aeroprogress T-101                    ",3, 9.0984, 69.292,0     , 4289.3424, 38.8664,2000,1.4088,-1.2914, 6.5743,1,0     , 0     ,0     ,-0.3048,-0.1524,2
"Aeroprogress T-201                    ",3, 9.9518, 69.292,0     , 4534.0136, 42.5120,2000,1.4088,-1.2914, 6.5743,1,0     , 0     ,0     ,-0.3048,-0.1524,2
"Ag-Cat Super B Turbo [Schweizer]      ",3, 6.4771, 58.116,1.8593, 2418.9526, 36.4190,2300,1.3411, 0.1219, 3.3528,1,0     , 0     ,0.3048,-0.3048,-0.1524,2
"Agrolot PZL-126P                      ",3, 3.8253, 38.893,0     ,  574.6032,  5.9688,2000,0.8763, 0.3702, 2.0360,1,0     , 0     ,0.2468,-0.2012,-0.1524,2
"Air Tractor AT-402A                   ",3, 7.7877, 58.116,0     , 2879.8186, 26.0220,2000,1.3281, 0     , 4.3466,1,0     , 0     ,0.3622,-0.3500,-0.2540,2
"Air Tractor AT-402B                   ",3, 7.7877, 58.116,0     , 2990.9297, 26.0220,2000,1.3281, 0     , 4.3466,1,0     , 0     ,0.3622,-0.3500,-0.2540,2
"Air Tractor AT-602                    ",3, 8.5345, 64.822,0     , 4104.3084, 27.7830,1500,1.4324, 0     , 4.5358,1,0     , 0     ,0.4775,-0.2012,-0.1524,2
"Air Tractor AT-802F                   ",3, 8.8393, 64.822,0     , 5149.6599, 33.4237,1500,1.4605, 0     , 4.8322,1,0     , 0     ,0.5893,-0.2012,-0.1524,2
"Airtruck PL-12-T320                   ",3, 5.9437, 52.299,0     , 1669.8413, 24.8058,2850,1.0973,-0.4877, 2.7432,1,0     , 0     ,0     ,-0.3048,-0.1524,1
"American Champion Scout               ",3, 5.5049, 54.540,0     ,  785.7143, 14.8196,2000,1.0160,-0.6063, 2.9707,1,0     , 0     ,0.2425,-0.2012,-0.1524,2
"Aviat A-1B Husky                      ",3, 5.4103, 62.586,0     ,  723.3560, 16.1146,2000,1.0160,-0.5978, 3.1087,1,0     , 0     ,0     ,-0.2012,-0.1524,2
"Basant HA-31 Mk II                    ",3, 6.0656, 51.405,0     , 1734.2404, 22.4832,2650,1.3107, 0     , 3.9320,1,0     , 0     ,0.4206,-0.3048,-0.1524,1
"Basler Turbo 67                       ",3,14.4050, 88.962,0     , 9920.6349, 67.0776,2550,1.4605, 0.6002, 6.4823,2,2.8210, 0     ,2.1608,-0.4572,-0.2438,2
"Belphegor M-15                        ",3,11.0644, 75.096,2.2860, 3851.2472, 76.5543,3000,1.8288, 1.7983, 0     ,1,0     , 0     ,0.1829,-0.3048,-0.1524,1
"Bombardier [Canadair] CL-215          ",3,14.2953, 84.483,0     ,14793.6508,113.1592,2500,2.1641, 0     , 5.7608,2,3.8405, 0     ,0     ,-0.4572,-0.2438,3
"Bombardier [Canadair] CL-215T/415     ",3,14.3136,101.479,0     ,15195.0113, 95.0102,2500,2.0178, 1.0089, 5.8011,2,3.6572, 0     ,0     ,-0.4572,-0.2438,2
"Cessna 206 Soloy                      ",3, 5.4865, 62.139,0     , 1248.9796, 13.9963,1810,1.2065,-0.4669, 3.1518,1,0     , 0     ,0.3502,-0.3048,-0.1524,2
"Cessna 206H                           ",3, 5.4865, 72.868,0     , 1315.1927, 13.9963,1810,1.2065,-0.4669, 3.1518,1,0     , 0     ,0.3502,-0.3048,-0.1524,2
"Cessna 208A Caravan                   ",3, 7.9401, 95.668,0     , 2704.0816, 22.7375,2850,1.3462,-0.6108, 5.1305,1,0     , 0     ,0.4886,-0.3048,-0.1524,2
"Cessna 208B Grand Caravan             ",3, 7.9401, 94.774,0     , 2944.8980, 22.7375,2850,1.3462,-0.6108, 5.1305,1,0     , 0     ,0.4886,-0.3048,-0.1524,2
"DC-3/C-47 [Douglas]                   ",3,14.4172,101.916,0     , 9701.5873, 93.7419,2550,1.7679,-1.2192, 6.0961,2,2.8956, 0     ,1.2192,-0.4572,-0.2438,3
"DC-6B [Douglas]                       ",3,17.9225,109.515,0     ,30111.5646,134.5275,2600,2.0574,-1.4326, 7.9249,4,3.5967, 7.9249,1.5545,-0.6096,-0.3048,1
